0.001,100,-2.1757979226466668e+254,6,1.6752936601908828e+254,6,-3.1998044444147186e+253,6
0.005,100,nan,6,nan,6,nan,6
0.01,100,nan,6,nan,6,nan,6
0.05,100,nan,6,nan,6,nan,6
0.1,100,nan,6,nan,6,nan,6
0.5,100,nan,6,nan,6,nan,6
1,100,nan,6,nan,6,nan,6
5,100,nan,6,nan,6,nan,6
10,100,nan,6,nan,6,nan,6
0.001,100,0.10434429620203739,6,0.012017939953164691,6,0.008677662389539221,6
0.005,100,0.4314639465342053,6,0.04557289657402265,6,0.02986798736934111,6
0.01,100,0.6932016863418228,6,0.06821875157527772,6,0.03897394758331409,6
0.05,100,1.0892488187954639,6,0.1109752495368315,6,0.0189481040020185,6
0.1,100,1.096538615670252,6,0.12384713420574317,6,0.006124681030167596,6
0.5,100,1.0967342749266444,6,0.12942860870022038,6,0.0007591155674774928,6
1,100,1.0968400780958911,6,0.13039300736404008,6,9.968979508429032e-05,6
5,100,1.0942372340394624,6,0.13600685045909555,6,-0.008060294995072546,6
10,100,1.0894099197238514,6,0.14436529828563607,6,-0.031370285652090324,6
